strategy,seed,train_windows,test_window,psi_action,novel_token_rate,precision,recall,f1,fpr,anomaly_rate,mean_confidence,low_confidence_rate,retrain_triggered,retrain_reason
static_w0,42,W0,W1,0.6545666519873266,0.977205153617443,0.023933402705515087,0.0970464135021097,0.038397328881469114,0.24471693190712235,0.2637055837563452,0.36685219407081604,0.42021996615905244,False,n/a
expanding,42,W0,W1,0.6545666519873266,0.977205153617443,0.023933402705515087,0.0970464135021097,0.038397328881469114,0.24471693190712235,0.2637055837563452,0.36685219407081604,0.42021996615905244,False,n/a
sliding_k2,42,W0,W1,0.6545666519873266,0.977205153617443,0.023933402705515087,0.0970464135021097,0.038397328881469114,0.24471693190712235,0.2637055837563452,0.36685219407081604,0.42021996615905244,False,n/a
recent_only,42,W0,W1,0.6545666519873266,0.977205153617443,0.023933402705515087,0.0970464135021097,0.038397328881469114,0.24471693190712235,0.2637055837563452,0.36685219407081604,0.42021996615905244,False,n/a
anchor_recent,42,W0,W1,0.6545666519873266,0.977205153617443,0.023933402705515087,0.0970464135021097,0.038397328881469114,0.24471693190712235,0.2637055837563452,0.36685219407081604,0.42021996615905244,False,n/a
static_w0,42,W0,W2,0.8298915846662395,0.9762087490406753,0.1994750656167979,0.3206751054852321,0.2459546925566343,0.08741759816566351,0.14094319399785638,0.3251594305038452,0.45301893533404786,False,n/a
expanding,42,W0+W1,W2,0.36912930869260474,0.9716039907904835,0.2345679012345679,0.3206751054852321,0.2709447415329768,0.07003671279299632,0.11146838156484459,0.3548189401626587,0.4000982493747767,True,always expand training history
sliding_k2,42,W0+W1,W2,0.36912930869260474,0.9716039907904835,0.2345679012345679,0.3206751054852321,0.2709447415329768,0.07003671279299632,0.11146838156484459,0.3548189401626587,0.4000982493747767,True,sliding recent window retrain
recent_only,42,W1,W2,0.09158549602714214,0.9739063699155794,0.18138424821002386,0.3206751054852321,0.23170731707317072,0.09744318181818182,0.14389067524115756,0.3192984461784363,0.48271704180064307,True,recent-only retrain
anchor_recent,42,W0+W1,W2,0.36912930869260474,0.9716039907904835,0.2345679012345679,0.3206751054852321,0.2709447415329768,0.07003671279299632,0.11146838156484459,0.3548189401626587,0.4000982493747767,True,baseline plus recent-window retrain
static_w0,42,W0,W3,0.8636082678389215,0.9781322356573192,0.20305676855895197,0.3924050632911392,0.26762589928057556,0.10980746089049338,0.19137977771753864,0.33284980058670044,0.442802927622662,False,n/a
expanding,42,W0+W1+W2,W3,0.19773419048603352,0.9490609724723437,0.24281984334203655,0.3924050632911392,0.3,0.0841799709724238,0.13987530496069395,0.393931120634079,0.35786572693593566,True,always expand training history
sliding_k2,42,W1+W2,W3,0.03765276905618165,0.9503473115513249,0.2080536912751678,0.3924050632911392,0.2719298245614035,0.10476472329091448,0.17674166440769856,0.3316907584667206,0.3923375801933677,True,sliding recent window retrain
recent_only,42,W2,W3,0.024541632888744384,0.9516336506303061,0.26956521739130435,0.3924050632911392,0.31958762886597936,0.0718562874251497,0.11330984006505829,0.3605593144893646,0.3801391524351676,True,recent-only retrain
anchor_recent,42,W0+W2,W3,0.30340307722361803,0.9500900437355286,0.19096509240246407,0.3924050632911392,0.2569060773480663,0.118282797958571,0.19924098671726756,0.3758913278579712,0.3181530676786844,True,baseline plus recent-window retrain
triggered,42,W0,W1,0.6545666519873266,0.977205153617443,0.023933402705515087,0.0970464135021097,0.038397328881469114,0.24471693190712235,0.2637055837563452,0.36685219407081604,0.42021996615905244,True,PSI(action)=0.655>0.2
triggered,42,W0+W1,W2,0.36912930869260474,0.9716039907904835,0.2345679012345679,0.3206751054852321,0.2709447415329768,0.07003671279299632,0.11146838156484459,0.3548189401626587,0.4000982493747767,True,PSI(action)=0.369>0.2; action_novelty=0.261>0.15
triggered,42,W0+W1+W2,W3,0.19773419048603352,0.9490609724723437,0.24281984334203655,0.3924050632911392,0.3,0.0841799709724238,0.13987530496069395,0.393931120634079,0.35786572693593566,False,ok
adaptive_online,42,W0,W1,0.6545666519873266,0.977205153617443,0.023933402705515087,0.0970464135021097,0.038397328881469114,0.24471693190712235,0.2637055837563452,0.36685219407081604,0.42021996615905244,False,selected lowest online anomaly rate among candidate retraining windows
adaptive_online,42,W0+W1,W2,0.36912930869260474,0.9716039907904835,0.2345679012345679,0.3206751054852321,0.2709447415329768,0.07003671279299632,0.11146838156484459,0.3548189401626587,0.4000982493747767,True,selected lowest online anomaly rate among candidate retraining windows
adaptive_online,42,W2,W3,0.024541632888744384,0.9516336506303061,0.26956521739130435,0.3924050632911392,0.31958762886597936,0.0718562874251497,0.11330984006505829,0.3605593144893646,0.3801391524351676,True,selected lowest online anomaly rate among candidate retraining windows
